    0.169968665491278581E+01   -0.450859423652472273E+02    0.232757749925550002E+03    0.539566092874311835E+03    0.771047286649147789E+00   -0.201670844324545904E+02
    0.162408290762575991E+01   -0.450603185293964827E+02    0.234445681245576509E+03    0.519428248793579542E+03    0.672648062976580974E+00   -0.191890789319345458E+02
    0.167133864548473898E+01   -0.450262783837710003E+02    0.232226315286823080E+03    0.549371646911984271E+03    0.523242430976577300E+00   -0.187378447101308900E+02
    0.177109979289196628E+01   -0.449776354996669525E+02    0.234091574372490015E+03    0.530397935197969559E+03    0.468499663341592654E+00   -0.184857452235951030E+02
    0.179038954533725958E+01   -0.451275850621283681E+02    0.233571037610262778E+03    0.509342024924639702E+03    0.704302033638161129E+00   -0.182846790285532528E+02
    0.178067626156475645E+01   -0.450738508511455080E+02    0.233327277926040267E+03    0.525636803466923084E+03    0.629101185009962816E+00   -0.175762669518787220E+02
    0.164302022247673585E+01   -0.450966808006023570E+02    0.233963119722974540E+03    0.525642097912179679E+03    0.692756176338802043E+00   -0.175608511163228123E+02
    0.177525044736578130E+01   -0.451437723939646460E+02    0.231770344375441624E+03    0.541738586296033532E+03    0.763450158416096758E+00   -0.175078479733726837E+02
    0.174435736025090793E+01   -0.449087656616696904E+02    0.237464771251766535E+03    0.497464991626637641E+03    0.484444089300184122E+00   -0.172945917984933502E+02
    0.167819081945664195E+01   -0.451829458893170681E+02    0.231751991002890009E+03    0.544636282060339454E+03    0.777182930705582420E+00   -0.166723887293956352E+02
    0.175963687749144992E+01   -0.449899607767183340E+02    0.235436700250015463E+03    0.504403447145207167E+03    0.515748241914850691E+00   -0.166624035325143893E+02
    0.175963687749144992E+01   -0.449899607767183340E+02    0.235436700250015463E+03    0.504403447145207167E+03    0.515748241914850691E+00   -0.166624035325143893E+02
    0.167240341671861881E+01   -0.450266851335547784E+02    0.235072120822987273E+03    0.505543717872731065E+03    0.566647034823384743E+00   -0.164994762384702796E+02
