    0.176705392305286790E+01   -0.450085394669224215E+02   -0.398133589367810288E+02
    0.174954758603044103E+01   -0.449807032572168097E+02   -0.397953526265544539E+02
    0.167599316599591686E+01   -0.450292876781050921E+02   -0.388521877946766665E+02
    0.175332469126800716E+01   -0.450227613885334392E+02   -0.385668514313137933E+02
    0.174574174810482585E+01   -0.450290228452038832E+02   -0.383091157224508976E+02
    0.170783807113974562E+01   -0.449659448000665165E+02   -0.382608769822496342E+02
    0.170851605323477829E+01   -0.449671404923592206E+02   -0.380978378472900516E+02
    0.169617758165133869E+01   -0.450296879833220061E+02   -0.371014599153128444E+02
    0.173650865644221453E+01   -0.450200050840489325E+02   -0.369212096364848463E+02
    0.170338530879492622E+01   -0.449744533307781893E+02   -0.367043899588450344E+02
    0.171733182252348993E+01   -0.449815900194836900E+02   -0.366511565079296062E+02
    0.171733182252348993E+01   -0.449815900194836900E+02   -0.366511565079296062E+02
    0.172805888038082522E+01   -0.450116417325857228E+02   -0.360302289765099815E+02
    0.172805888038082522E+01   -0.450116417325857228E+02   -0.360302289765099815E+02
    0.172367154301926773E+01   -0.449957500863359527E+02   -0.359526576596682759E+02
    0.172367154301926773E+01   -0.449957500863359527E+02   -0.359526576596682759E+02
    0.170546444291701094E+01   -0.450200872000568566E+02   -0.357923424100610319E+02
    0.170546444291701094E+01   -0.450200872000568566E+02   -0.357923424100610319E+02
    0.167889412063202315E+01   -0.449830394370539608E+02   -0.357815853183546011E+02
    0.170201089956581364E+01   -0.450189202691997039E+02   -0.357318805343782273E+02
    0.170201089956581364E+01   -0.450189202691997039E+02   -0.357318805343782273E+02
    0.171172579425887661E+01   -0.450174052145382433E+02   -0.356276318598614097E+02
    0.171571298552517582E+01   -0.450019589167690555E+02   -0.353320056886121989E+02
    0.168668820170141753E+01   -0.449891240905786773E+02   -0.352912729258942548E+02
    0.168389744206376379E+01   -0.449955594902597440E+02   -0.352863779931846864E+02
    0.169730889818235364E+01   -0.449900578631816899E+02   -0.351850953951772780E+02
    0.169767627561923473E+01   -0.449906727124117012E+02   -0.351618251729201745E+02
    0.168806247383583785E+01   -0.449947847469974178E+02   -0.351412502236872228E+02
    0.170277066299915036E+01   -0.449934884943349971E+02   -0.351259430908074393E+02
    0.168927786585036688E+01   -0.449964302548038688E+02   -0.351000772253337843E+02
    0.169726445083236044E+01   -0.449942642845833802E+02   -0.350398615043228148E+02
    0.169408012096830318E+01   -0.449951971633483936E+02   -0.350296569900523593E+02
